Region,Centroid_X,Centroid_Y,Total_Area,Max_Radiation,Average_Radiation,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
ES413,3028207.2900867932,2305091.7164735263,15577765975.480114,1675.5222,190.42204,1400,50880000.0,1477.455322265625,3089612.5,2318687.5
ES413,3028207.2900867932,2305091.7164735263,15577765975.480114,1675.5222,190.42204,1500,859760625.0,1565.90283203125,3053162.5,2326187.5
ES413,3028207.2900867932,2305091.7164735263,15577765975.480114,1675.5222,190.42204,1600,946295000.0,1628.644287109375,3049137.5,2305687.5
ES413,3028207.2900867932,2305091.7164735263,15577765975.480114,1675.5222,190.42204,1700,0.0,,,
ES413,3028207.2900867932,2305091.7164735263,15577765975.480114,1675.5222,190.42204,1800,0.0,,,
ES414,3128171.685595801,2256178.2178897928,8051579980.794672,1672.8219,58.153313,700,0.0,,,
ES414,3128171.685595801,2256178.2178897928,8051579980.794672,1672.8219,58.153313,800,0.0,,,
ES414,3128171.685595801,2256178.2178897928,8051579980.794672,1672.8219,58.153313,900,0.0,,,
ES414,3128171.685595801,2256178.2178897928,8051579980.794672,1672.8219,58.153313,1000,0.0,,,
ES414,3128171.685595801,2256178.2178897928,8051579980.794672,1672.8219,58.153313,1100,0.0,,,
ES414,3128171.685595801,2256178.2178897928,8051579980.794672,1672.8219,58.153313,1200,0.0,,,
ES414,3128171.685595801,2256178.2178897928,8051579980.794672,1672.8219,58.153313,1300,1250.0,1399.7689208984375,3123462.5,2310687.5
ES414,3128171.685595801,2256178.2178897928,8051579980.794672,1672.8219,58.153313,1400,1268750.0,1474.7315673828125,3177912.5,2294537.5
ES414,3128171.685595801,2256178.2178897928,8051579980.794672,1672.8219,58.153313,1500,155846250.0,1571.7308349609375,3125762.5,2306837.5
ES414,3128171.685595801,2256178.2178897928,8051579980.794672,1672.8219,58.153313,1600,135504375.0,1640.6185302734375,3137162.5,2212037.5
ES414,3128171.685595801,2256178.2178897928,8051579980.794672,1672.8219,58.153313,1700,0.0,,,
ES414,3128171.685595801,2256178.2178897928,8051579980.794672,1672.8219,58.153313,1800,0.0,,,
ES415,2970651.676394643,2111458.602324238,12351308024.002525,1728.64,344.29486,700,0.0,,,
ES415,2970651.676394643,2111458.602324238,12351308024.002525,1728.64,344.29486,800,0.0,,,
ES415,2970651.676394643,2111458.602324238,12351308024.002525,1728.64,344.29486,900,0.0,,,
ES415,2970651.676394643,2111458.602324238,12351308024.002525,1728.64,344.29486,1000,0.0,,,
ES415,2970651.676394643,2111458.602324238,12351308024.002525,1728.64,344.29486,1100,0.0,,,
ES415,2970651.676394643,2111458.602324238,12351308024.002525,1728.64,344.29486,1200,0.0,,,
ES415,2970651.676394643,2111458.602324238,12351308024.002525,1728.64,344.29486,1300,0.0,,,
ES415,2970651.676394643,2111458.602324238,12351308024.002525,1728.64,344.29486,1400,0.0,,,
ES415,2970651.676394643,2111458.602324238,12351308024.002525,1728.64,344.29486,1500,106875.0,1575.3973388671875,2937187.5,2076912.5
ES415,2970651.676394643,2111458.602324238,12351308024.002525,1728.64,344.29486,1600,1702010000.0,1685.9349365234375,2966012.5,2155262.5
ES415,2970651.676394643,2111458.602324238,12351308024.002525,1728.64,344.29486,1700,807631250.0,1715.135009765625,3032562.5,2141187.5
ES415,2970651.676394643,2111458.602324238,12351308024.002525,1728.64,344.29486,1800,0.0,,,
ES416,3144181.337277333,2117642.271196435,6925051537.635591,1691.5986,151.62405,700,0.0,,,
ES416,3144181.337277333,2117642.271196435,6925051537.635591,1691.5986,151.62405,800,0.0,,,
ES416,3144181.337277333,2117642.271196435,6925051537.635591,1691.5986,151.62405,900,0.0,,,
ES416,3144181.337277333,2117642.271196435,6925051537.635591,1691.5986,151.62405,1000,0.0,,,
ES416,3144181.337277333,2117642.271196435,6925051537.635591,1691.5986,151.62405,1100,0.0,,,
